URL,size,Outgoing Links,Content-Type
https://www.dailymail.co.uk/news/index.html,408511,342,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6723133/A-bin-credible-100-000-Volunteer-army-Mail-readers-joining-Great-British-Spring-Clean.html,531177,958,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/headlines/index.html,299671,565,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6725325/ISIS-bride-Alabama-says-wants-pay-therapy-comes-home.html,528748,955,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6722115/Heartbroken-Charo-reveals-film-producer-husband-killed-battling-rare-SKIN-disease.html,526980,949,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6727155/Chinese-buyers-snap-multi-million-dollar-homes-hours-Australian-property-market-crumbles.html,519250,959,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/syria/index.html,485865,640,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6724901/James-Middleton-allows-Nazi-propaganda-peddled-Boomf.html,529287,955,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6724895/Furious-mother-42-slams-NHS-medic-brands-four-year-old-son-OVERWEIGHT.html,524373,954,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6721711/Steamy-video-Miranda-Lamberts-new-husband-shows-dancing-shirtless.html,535712,955,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6724217/May-schedule-new-Brexit-deal-vote-soon-week.html,547632,957,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6724023/Will-ISIS-bride-Shamima-Begum-use-BABY-door-Britain.html,618213,992,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6727523/Fire-old-Bangladeshs-capital-kills-45.html,505070,941,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6723759/US-steps-winter-warfare-training-global-threat-shifts.html,173304,179,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6722847/Jussie-Smolletts-siblings-say-vilified-irresponsible-media.html,553899,963,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/royals/index.html,493689,634,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6719075/Royal-Mail-unveils-Marvel-superheroes-15-stamp-collection-featuring-Hulk-Spider-Man-others.html,522831,962,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6727629/Man-dumped-two-rabbits-ears-jailed.html,518128,948,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6727335/Huawei-no-credible-plan-quell-fears-technology-used-Chinese-government-spies.html,521533,950,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6723327/Samantha-Markle-urges-sister-Meghan-dad-trip.html,533489,951,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/isis/index.html,484256,641,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6724309/Michael-Jackson-accusers-speak-abuse-trailer-Leaving-Neverland-documentary.html,530402,952,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6727525/Horrifying-moment-teenager-holds-machete-boys-throat-New-Zealand.html,520167,953,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6724329/Hitlers-mountain-lair-revealed-haunting-new-photo-album-showing-leaders-expensive-tastes.html,196076,210,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6722851/Ticket-bought-Ireland-scoops-153-MILLION-EuroMillions-jackpot.html,536263,959,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6727223/Kate-misses-Meghans-baby-shower-William-children-secret-skiing-holiday.html,527339,953,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6722573/Reserve-Bank-Australia-minutes-warn-house-prices-slump-hit-economy-spur-unemployment.html,525944,952,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6725325/amp/ISIS-bride-Alabama-says-wants-pay-therapy-comes-home.html,283193,778,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6727303/STEPHEN-GLOVER-jihadi-bride-monster-shes-monster-return-home-justice.html,524867,959,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6720339/Tobacco-tycoon-Travers-Candyman-Beynon-offers-tattoo-fans-company-logo-FREE.html,521551,949,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6724753/Amir-Khan-blasts-arrogant-jihadi-bride-Shamima-Begum-giving-Muslims-bad-name.html,549222,966,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6727101/Australian-carmaker-Toyota-says-no-employee-customer-data-accessed-cyber-attack.html,517708,951,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6719433/Charos-husband-Kjell-Rasten-79-dies-self-inflicted-gunshot-wound.html,520529,947,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6724221/Pornhub-star-21-held-knifepoint-Tinder-date-tried-rape-her.html,520729,948,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6724895/amp/Furious-mother-42-slams-NHS-medic-brands-four-year-old-son-OVERWEIGHT.html,282326,776,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6719153/U-S-states-sue-Trump-administration-showdown-border-wall-funds.html,532032,950,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6727225/Jeremy-Corbyn-blocks-MPs-accessing-Labour-databases-amid-claim-defectors-tried-data.html,543705,951,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6727389/Incredible-pictures-derelict-state-popular-thermal-resort-Waiwera-New-Zealand.html,150583,178,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6726679/Doria-Ragland-spotted-LA-daughter-Meghan-Markle-parties-300K-baby-shower.html,541425,962,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6725171/Traumatised-fashionista-22-left-worlds-WORST-haircut-stylist-butchered-locks.html,526788,954,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6725031/Kerry-Katona-warned-face-JAIL-failing-turn-court.html,526869,952,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6724891/Britains-overweight-dog-sheds-two-half-stone-strict-diet-lots-walkies.html,524621,957,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6613675/Average-weight-international-rugby-union-players-increases-25-16st-8lb-1950s.html,511813,947,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6727647/Gas-hobs-boilers-BANNED-new-homes-six-years-hit-carbon-emissions-targets.html,516283,949,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6724491/UK-weather-Balmy-Britain-hotter-Athens-Madrid-Rome-weekend.html,172190,188,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6726267/Academy-Awards-Serena-Williams-Jose-Andres-Trevor-Noah-present-Best-Picture-Oscar-nominees.html,526231,949,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6727205/Brave-surfers-massive-swells-punishing-Tropical-Cyclone-Oma-threatens-smash-Queensland.html,197458,215,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6723255/Volunteers-clear-rubbish-clogged-canal-waste-mountain-return-just-YEAR-later.html,519683,955,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6725039/Cops-arrest-man-1973-cold-case-murder-11-year-old-Linda-OKeefe.html,538990,962,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6725679/Comedian-Jeremy-Hardys-family-friends-say-goodbyes-Dorset-funeral.html,528359,955,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6706553/Trump-officially-obese-medical-exam-shows-gained-four-pounds-year.html,544055,962,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6724255/The-grim-fate-Allied-prisoners-hands-Nazi-war-criminals-WWII.html,195157,213,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6724857/RAF-Engineer-56-senior-woman-served-Britains-armed-forces.html,522252,951,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6723325/Nigerian-brothers-say-Jussie-Smollett-faked-threatening-letter-week-hoax-attack.html,540703,955,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6726561/Remote-tribe-killed-American-missionary-John-Allen-Chau-NOT-face-murder-charges.html,530027,952,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6726315/Jussie-Smollett-agreed-talk-police-again.html,541240,958,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6727483/Disgruntled-airport-employee-Gatwick-drone-chaos-source-claims.html,518772,952,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6721073/Millions-Chinese-citizens-deemed-untrustworthy-nations-social-credit-system.html,517791,953,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6720947/Photographs-pre-fame-Frank-Sinatra-global-phenomenon.html,170204,184,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6721367/Le-Pen-populist-allies-set-win-big-European-Parliament-elections-poll-suggests.html,520942,952,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6726269/Judges-nix-house-arrest-ex-cartel-leader-story-featured-Netflixs-Narcos-Mexico.html,529713,954,text/html;charset=UTF-8
